Albania	อัลเบเนีย	สาธารณรัฐแอลเบเนีย
Andorra	แอนดอรา	ราชรัฐอันดอร์รา
Austria	ออสเตรีย	สาธารณรัฐออสเตรีย
Belarus	เบลารุส	สาธารณรัฐเบลารุส
Belgium	เบลเจียม	ราชอาณาจักรเบลเยียม
Bosnia and Herzegovina	บอสเนีย แอนดฺ เฮิรฺทเซอโกวีนา	บอสเนียและเฮอร์เซโกวีนา
Bulgaria	บัลแกเรีย	สาธารณรัฐบัลแกเรีย
Croatia	โครเอเชีย	สาธารณรัฐโครเอเชีย
Czech Republic	เช็คฺ รีพับบลิคฺ	สาธารณรัฐเช็ก
Denmark	เดนมารฺค	ราชอาณาจักรเดนมาร์ก
Estonia	เอ็สฺสโตเนีย	สาธารณรัฐเอสโตเนีย
Finland	ฟินแลนดฺ	สาธารณรัฐฟินแลนด์
France	ฟรานซฺ	สาธารณรัฐฝรั่งเศส
Germany	เจอรฺมานี	สหพันธ์สาธารณรัฐเยอรมนี
Greece	กรีซฺ	สาธารณรัฐเฮลเลนิก (กรีซ)
Hungary	ฮังเกอรี	สาธารณรัฐฮังการี
Iceland	ไอซฺแลนดฺ	สาธารณรัฐไอซ์แลนด์
Ireland	อายรฺแลนดฺ	ไอร์แลนด์
Italy	อิทลี	สาธารณรัฐอิตาลี
Kosovo	คอซอวอ	สาธารณรัฐคอซอวอ
Latvia	ลัทเวีย	สาธารณรัฐลัตเวีย
Liechtenstein	ลิคฺเทนสไตนฺ	ราชรัฐลิกเตนสไตน์
Lithuania	ลิทฺทัวเนีย	สาธารณรัฐลิทัวเนีย
Luxembourg	ลุกสฺเซ็มเบิรฺก	ราชรัฐลักเซมเบิร์ก
Macedonia	มาซีโดเนีย	สาธารณรัฐมาซิโดเนีย
Malta	มัลทา	สาธารณรัฐมอลตา
Moldova	มอลโดวา	สาธารณรัฐมอลโดวา
Monaco	โมนาโค	ราชรัฐโมนาโก
Montenegro	มอนเทนเนโกร	สาธารณรัฐมอนเตเนโกร
Netherlands	เนเธอรฺแลนซฺ	ราชอาณาจักรเนเธอร์แลนด์
Norway	นอรฺเว	ราชอาณาจักรนอร์เวย์
Poland	โพแลนดฺ	สาธารณรัฐโปแลนด์
Portugal	พอชูกัล	สาธารณรัฐโปรตุเกส
Romania	โรมาเนีย	โรมาเนีย
Russia	รัสเซีย	สหพันธรัฐรัสเซีย
San Marino	ซาน มาริโน	สาธารณรัฐซานมารีโน
Serbia	เซอรฺเบีย	สาธารณรัฐเซอร์เบีย
Slovakia	สโลวาเกีย	สาธารณรัฐสโลวัก(สโลวะเกีย)
Slovenia	สโลเวเนีย	สาธารณรัฐสโลวีเนีย
Spain	สเปน	ราชอาณาจักรสเปน
Sweden	สวีเด็น	ราชอาณาจักรสวีเดน
Switzerland	สวิสเซอรฺแลนดฺ	สมาพันธรัฐสวิส
(สวิตเซอร์แลนด์)
Ukraine	ยูเครน	ยูเครน
United Kingdom	ยูไนถิด คิงดอม	สหราชอาณาจักร
Vatican City (Holy See)	แวทิแกน ซิที	นครรัฐวาติกัน
Asia ทวีปเอเชีย
ชื่อประเทศภาษาอังกฤษ	คำอ่าน	ชื่อประเทศภาษาไทย
Afghanistan	แอฟแกนิสฺแทน	สาธารณรัฐอิสลามอัฟกานิสถาน
Armenia	อารฺเมเนีย	สาธารณรัฐอาร์เมเนีย
Azerbaijan	อาเซอรฺไบเจิน	สาธารณรัฐอาเซอร์ไบจาน
Bahrain	บาหฺเรน	ราชอาณาจักรบาห์เรน
Bangladesh	บังกลาเดชฺ	สาธารณรัฐประชาชนบังกลาเทศ
Bhutan	บูแทน	ราชอาณาจักรภูฏาน
Brunei	บรูนาย	เนการาบรูไนดารุสซาลาม
Cambodia	แคมโบเดีย	ราชอาณาจักรกัมพูชา
China	ไชนา	สาธารณรัฐประชาชนจีน
Cyprus	ไซปรัซฺ	สาธารณรัฐไซปรัส
Georgia	จอรฺเจีย	สาธารณรัฐจอร์เจีย
India	อินเดีย	สาธารณรัฐอินเดีย
Indonesia	อินโดนีเชีย	สาธารณรัฐอินโดนีเซีย
Iran	อิราน	สาธารณรัฐอิสลามอิหร่าน
Iraq	อิรัคฺ	สาธารณรัฐอิรัก
Israel	อิซเรียล	รัฐอิสราเอล
Japan	เจแพน	ญี่ปุ่น
Jordan	จอรฺดัน	ราชอาณาจักรฮัชไมต์จอร์แดน
Kazakhstan	คาซัคสฺทัน	สาธารณรัฐคาซัคสถาน
Kuwait	คูเวทฺ	รัฐคูเวต
Kyrgyzstan	คีกีซฺสทาน	สาธารณรัฐคีร์กีซ
Laos	ลาวสฺ	สาธารณรัฐประชาธิปไตยประชาชนลาว
Lebanon	เลบานัน	สาธารณรัฐเลบานอน
Malaysia	มาเลเชีย	มาเลเซีย
Maldives	มอลดีฟซฺ	สาธารณรัฐมัลดีฟส์
Mongolia	มองโกเลีย	มองโกเลีย
Myanmar (Burma)	เมียนมารฺ (เบอรฺมา)	สาธารณรัฐแห่งสหภาพเมียนมา
Nepal	เนพาล	ราชอาณาจักรเนปาล
North Korea	นอรฺท โคเรีย	สาธารณรัฐประชาธิปไตยประชาชนเกาหลี(เหนือ)
Oman	โอมาน	รัฐสุลต่านโอมาน
Pakistan	พัคกิสฺสทาน	สาธารณรัฐอิสลามปากีสถาน
Philippines	ฟิลิบปินสฺ	สาธารณรัฐฟิลิปปินส์
Qatar	คาเทอรฺ	รัฐกาตาร์
Saudi Arabia	ซาอุดี อาเรเบีย	ซาอุดีอาระเบีย
Singapore	ซิงงะพอรฺ	สาธารณรัฐสิงคโปร์
South Korea	เซ่าทฺ โคเรีย	สาธารณรัฐเกาหลี(ใต้)
Sri Lanka	ซี ลังคา	สาธารณรัฐสังคมนิยมประชาธิปไตยศรีลังกา
Syria	ซีเรีย	สาธารณรัฐอาหรับซีเรีย
Taiwan	ไทวัน	ไต้หวัน
Tajikistan	ทาจิคิสฺทาน	สาธารณรัฐทาจิกิสถาน
Thailand	ไทแลนดฺ	ไทย
Timor-Leste	ทิมอรฺ เลสเท	สาธารณรัฐประชาธิปไตยติมอร์-เลสเต
